,name,doi,doi_link
0,ABAVIJ,10.1039/b404485a,http://dx.doi.org/10.1039/b404485a
1,ABAYIO,10.1021/acs.cgd.6b00776,http://dx.doi.org/10.1021/acs.cgd.6b00776
2,ABAYOU,10.1021/acs.cgd.6b00776,http://dx.doi.org/10.1021/acs.cgd.6b00776
3,ABEFUL,10.1007/s13738-014-0556-x,http://dx.doi.org/10.1007/s13738-014-0556-x
4,ABESUX,10.1021/ic200345j,http://dx.doi.org/10.1021/ic200345j
5,ABETAE,10.1021/ic200345j,http://dx.doi.org/10.1021/ic200345j
6,ABETIN,10.1039/C6RA10422C,http://dx.doi.org/10.1039/C6RA10422C
7,ABEXEM,10.1021/ic201013v,http://dx.doi.org/10.1021/ic201013v
8,ABEXEN,10.1039/C6TA07939C,http://dx.doi.org/10.1039/C6TA07939C
9,ABEXIQ,10.1021/ic201013v,http://dx.doi.org/10.1021/ic201013v
10,ABEXOW,10.1021/ic201013v,http://dx.doi.org/10.1021/ic201013v
11,ABEXUC,10.1021/ic201013v,http://dx.doi.org/10.1021/ic201013v
12,ABEYAJ,10.1021/ic201013v,http://dx.doi.org/10.1021/ic201013v
13,ABEYEN,10.1021/ic201013v,http://dx.doi.org/10.1021/ic201013v
14,ABEYIR,10.1021/ic201013v,http://dx.doi.org/10.1021/ic201013v
15,ABIXOZ,10.1016/j.poly.2004.06.010,http://dx.doi.org/10.1016/j.poly.2004.06.010
16,ABIYIV,,
17,ABULOB,10.1016/j.molstruc.2016.11.055,http://dx.doi.org/10.1016/j.molstruc.2016.11.055
18,ABUWOJ,10.1107/S1600536801009175,http://dx.doi.org/10.1107/S1600536801009175
19,ac403674p_si_001,,
20,ACAJIY,10.1002/ejic.200400171,http://dx.doi.org/10.1002/ejic.200400171
21,ACAJIZ,10.1039/c2dt31427d,http://dx.doi.org/10.1039/c2dt31427d
22,ACAJOF,10.1039/c2dt31427d,http://dx.doi.org/10.1039/c2dt31427d
23,ACAKUM,10.1039/c2dt31717f,http://dx.doi.org/10.1039/c2dt31717f
24,ACALIB,10.1039/c2dt31717f,http://dx.doi.org/10.1039/c2dt31717f
25,ACIBIY,10.1016/j.micromeso.2005.11.049,http://dx.doi.org/10.1016/j.micromeso.2005.11.049
26,ACIBOE,10.1016/j.micromeso.2005.11.049,http://dx.doi.org/10.1016/j.micromeso.2005.11.049
27,ACODON,10.1039/c2cc35526d,http://dx.doi.org/10.1039/c2cc35526d
28,ACOGAB,10.1002/ejic.200501060,http://dx.doi.org/10.1002/ejic.200501060
29,ACOGEF,10.1002/ejic.200501060,http://dx.doi.org/10.1002/ejic.200501060
30,ACOLEL,10.1039/c2jm34349e,http://dx.doi.org/10.1039/c2jm34349e
31,ACOLIP,10.1039/c2jm34349e,http://dx.doi.org/10.1039/c2jm34349e
32,ACOLOV,10.1039/c2jm35273g,http://dx.doi.org/10.1039/c2jm35273g
33,acs.cgd.5b01686_WAHFUJ1434675,,
34,acs.cgd.6b00463_OLOMUZ1451936,,
35,acs.chemmater.6b02817_cm6b02817_si_004,,
36,acs.chemrev.6b00346_cr6b00346_si_001,,
37,acs.inorgchem.5b02108_ic5b02108_si_002,,
38,acs.inorgchem.5b02973_ic5b02973_si_002,,
39,acs.inorgchem.6b00081_ic6b00081_si_001,,
40,acs.inorgchem.6b00433_ic6b00433_si_002,,
41,acs.inorgchem.6b00894_ic6b00894_si_002,,
42,acs.inorgchem.6b00894_ic6b00894_si_003,,
43,acs.inorgchem.6b01569_ic6b01569_si_002,,
44,acs.inorgchem.6b01740_ic6b01740_si_002,,
45,acs.inorgchem.6b02407_ic6b02407_si_002,,
46,acs.inorgchem.6b02407_ic6b02407_si_003,,
47,acs.inorgchem.6b02413_ic6b02413_si_002,,
48,acs.inorgchem.6b02514_ic6b02514_si_002,,
49,acs.inorgchem.6b02696_ic6b02696_si_002,,
50,acs.jchemed.6b00258_ed6b00258_si_005,,
51,acs.jpcc.6b08594_UiO66_Ce2Zr4_opt,,
52,acs.jpcc.6b08594_Zn2Cd6MOF5_opt,,
53,acscombsci.5b00188_24205,,
54,acscombsci.5b00188_3001288,,
55,acscombsci.5b00188_5020072,,
56,acscombsci.5b00188_5024922,,
57,acscombsci.5b00188_5036495,,
58,acscombsci.5b00188_5040209,,
59,acscombsci.5b00188_8372,,
60,ACUBAB,10.1021/cm010302f,http://dx.doi.org/10.1021/cm010302f
61,ACUFEK,10.1021/ja058777l,http://dx.doi.org/10.1021/ja058777l
62,ACUJOZ_manual,10.1016/j.micromeso.2012.07.036,http://dx.doi.org/10.1016/j.micromeso.2012.07.036
63,ACUTOI,10.1021/ja0606879,http://dx.doi.org/10.1021/ja0606879
64,ADABIS,10.1002/anie.201202992,http://dx.doi.org/10.1002/anie.201202992
65,ADABUE,10.1002/anie.201202992,http://dx.doi.org/10.1002/anie.201202992
66,ADARAA,10.1002/anie.201205603,http://dx.doi.org/10.1002/anie.201205603
67,ADASAB_charged,10.1002/anie.201201202,http://dx.doi.org/10.1002/anie.201201202
68,ADASEF,10.1002/anie.201201202,http://dx.doi.org/10.1002/anie.201201202
69,ADASIJ,10.1002/anie.201201202,http://dx.doi.org/10.1002/anie.201201202
70,ADASOP,10.1002/anie.201201202,http://dx.doi.org/10.1002/anie.201201202
71,ADASUV,10.1002/anie.201201202,http://dx.doi.org/10.1002/anie.201201202
72,ADATAC,10.1002/anie.201201202,http://dx.doi.org/10.1002/anie.201201202
73,ADATEG_manual,10.1002/anie.201201202,http://dx.doi.org/10.1002/anie.201201202
74,ADATIK,10.1002/anie.201201202,http://dx.doi.org/10.1002/anie.201201202
75,ADATOQ,10.1002/anie.201204530,http://dx.doi.org/10.1002/anie.201204530
76,ADATUW,10.1002/anie.201204530,http://dx.doi.org/10.1002/anie.201204530
77,ADAVAE,10.1002/anie.201204530,http://dx.doi.org/10.1002/anie.201204530
78,ADAVEI,10.1002/anie.201204530,http://dx.doi.org/10.1002/anie.201204530
79,ADAVIM,10.1002/anie.201204530,http://dx.doi.org/10.1002/anie.201204530
80,ADAXEK,10.1002/ejic.201200851,http://dx.doi.org/10.1002/ejic.201200851
81,ADAXIO,10.1002/ejic.201200851,http://dx.doi.org/10.1002/ejic.201200851
82,ADEGIA,10.1107/S1600536806022884,http://dx.doi.org/10.1107/S1600536806022884
83,ADEGIA01,10.1007/s10904-014-0025-0,http://dx.doi.org/10.1007/s10904-014-0025-0
84,ADIQEL,10.1039/c2dt31361h,http://dx.doi.org/10.1039/c2dt31361h
85,ADOBAX_charged,10.1016/j.poly.2006.11.050,http://dx.doi.org/10.1016/j.poly.2006.11.050
86,ADOBEB_charged,10.1016/j.poly.2006.11.050,http://dx.doi.org/10.1016/j.poly.2006.11.050
87,ADOBOL_charged,10.1016/j.poly.2006.11.050,http://dx.doi.org/10.1016/j.poly.2006.11.050
88,ADOBUR_charged,10.1016/j.poly.2006.11.050,http://dx.doi.org/10.1016/j.poly.2006.11.050
89,ADOCEC,10.1016/j.poly.2006.11.050,http://dx.doi.org/10.1016/j.poly.2006.11.050
90,ADODAA_charged,10.1039/c2cc35606f,http://dx.doi.org/10.1039/c2cc35606f
91,ADODII,10.1039/c2cc35432b,http://dx.doi.org/10.1039/c2cc35432b
92,ADODOO,,
93,ADODUU,10.1039/c2cc35432b,http://dx.doi.org/10.1039/c2cc35432b
94,ADOGEH,10.1039/c2cc36220a,http://dx.doi.org/10.1039/c2cc36220a
95,ADUROI,10.1002/anie.201302715,http://dx.doi.org/10.1002/anie.201302715
96,ADUWIH,10.1002/chem.201300144,http://dx.doi.org/10.1002/chem.201300144
97,ADUWON,10.1002/chem.201300144,http://dx.doi.org/10.1002/chem.201300144
98,AFEDIA,10.1107/S1600536813014876,http://dx.doi.org/10.1107/S1600536813014876
99,AFEJOK_ion_b,10.1021/ja0113192,http://dx.doi.org/10.1021/ja0113192
100,AFENEE,10.1039/b108616b,http://dx.doi.org/10.1039/b108616b
101,AFIPAH,10.1002/zaac.200800182,http://dx.doi.org/10.1002/zaac.200800182
102,AFITEP,10.1039/b714160b,http://dx.doi.org/10.1039/b714160b
103,AFITUF,10.1039/b714160b,http://dx.doi.org/10.1039/b714160b
104,AFIXAO,10.1002/1521-3757(20020415)114:8<1442::AID-ANGE1442>3.0.CO;2-4,http://dx.doi.org/10.1002/1521-3757(20020415)114:8%3C1442::AID-ANGE1442%3E3.0.CO;2-4
105,AFIXES,10.1002/1521-3757(20020415)114:8<1442::AID-ANGE1442>3.0.CO;2-4,http://dx.doi.org/10.1002/1521-3757(20020415)114:8%3C1442::AID-ANGE1442%3E3.0.CO;2-4
106,AFOQUI,10.1039/b804944k,http://dx.doi.org/10.1039/b804944k
107,AFOTOF,10.1039/b803168a,http://dx.doi.org/10.1039/b803168a
108,AFOTUL,10.1039/b803168a,http://dx.doi.org/10.1039/b803168a
109,AFOVAT,10.1039/b803168a,http://dx.doi.org/10.1039/b803168a
110,AFOVEX,10.1039/b803168a,http://dx.doi.org/10.1039/b803168a
111,AFOVIB,10.1039/b803168a,http://dx.doi.org/10.1039/b803168a
112,AFOVOH,10.1039/b803168a,http://dx.doi.org/10.1039/b803168a
113,AFOYAW,10.1039/b806671j,http://dx.doi.org/10.1039/b806671j
114,AFOYEB,,
115,AFOYIE,,
116,AFOYOK,10.1039/b806671j,http://dx.doi.org/10.1039/b806671j
117,AFUKET,10.1039/C3CE41406J,http://dx.doi.org/10.1039/C3CE41406J
118,AFUKIX,10.1039/C3CE41406J,http://dx.doi.org/10.1039/C3CE41406J
119,AFUPEX,,
120,AGABIU,10.1016/j.ica.2008.02.042,http://dx.doi.org/10.1016/j.ica.2008.02.042
121,AGARUW,10.1039/b806615a,http://dx.doi.org/10.1039/b806615a
122,AGESIP,10.1002/zaac.200800259,http://dx.doi.org/10.1002/zaac.200800259
123,AGIMOU,10.1039/C3DT52190G,http://dx.doi.org/10.1039/C3DT52190G
124,AGIREP,10.1016/j.jssc.2013.03.043,http://dx.doi.org/10.1016/j.jssc.2013.03.043
125,AGOFEJ,10.1039/C3CE41244J,http://dx.doi.org/10.1039/C3CE41244J
126,AGONAM,10.1021/cg8002614,http://dx.doi.org/10.1021/cg8002614
127,AGONEQ,10.1021/cg8002614,http://dx.doi.org/10.1021/cg8002614
128,AGOVOJ,10.1038/ncomms3344,http://dx.doi.org/10.1038/ncomms3344
129,AGUTUS,10.1002/zaac.200900121,http://dx.doi.org/10.1002/zaac.200900121
130,AGUVOO_charged,10.1002/zaac.200900121,http://dx.doi.org/10.1002/zaac.200900121
131,AGUWUV,,
132,AHAMAY,,
133,AHEBAS,,
134,AHEQAH,,
135,AHINIP,,
136,AHOBEG,,
137,AHOJUC,,
138,AHOKAJ,,
139,AHOKIR,,
140,AHOKIR01,,
141,AHOKOX,,
142,AHUTIH,,
143,AHUTIH01,,
144,AJAKON,,
145,AJAMEF,,
146,AJAYIT,,
147,AJIGIL,,
