,name,doi,pdf_link,brat_link,pdfminer_link,html_link,doi_link,Deposition Number(s),Space Group,Cell,element,info.source,info.formula,info.natoms,info.pld,info.lcd,info.density,inputs.pbe.theory,inputs.pbe.pseudopotentials,inputs.pbe.encut,inputs.pbe.kpoints,inputs.pbe.gamma,inputs.pbe.spin,outputs.pbe.energy_total,outputs.pbe.energy_vdw,outputs.pbe.energy_elec,outputs.pbe.bandgap,outputs.pbe.directgap,outputs.pbe.cbm,outputs.pbe.vbm,outputs.pbe.net_magmom
0,ABAVIJ,b404485a,http://d.sunie.top:9009/material/convert/core_qmof_pdf/b404485a.pdf,http://d.sunie.top:9020/index.xhtml#/material/convert/core_qmof_txt/b404485a,http://d.sunie.top:9009/material/convert/core_qmof_txt_pdfminer/b404485a.txt,http://d.sunie.top:9009/material/convert/core_qmof_html/b404485a.html,http://dx.doi.org/10.1039/b404485a,234593.0,C c (9),"a 9.8064(9)Å b 26.165(2)Å c 10.6685(9)Å, α 90° β 105.267(2)° γ 90°",catena-(tetrakis(μ3-isonicotinato)-di-cobalt) ethanol clathrate,CSD,Co4C48H32N8O16,108,2.36128,4.21176,1.5576436532530995,PBE-D3BJ,"['Co 02Aug2007', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[2, 2, 1]",True,True,-759.99607759,-8.60846,-751.38761759,0.345448,False,1.09114,0.745692,12.0
1,ACAJOF,c2dt31427d,http://d.sunie.top:9009/material/convert/core_qmof_pdf/c2dt31427d.pdf,http://d.sunie.top:9020/index.xhtml#/material/convert/core_qmof_txt/c2dt31427d,http://d.sunie.top:9009/material/convert/core_qmof_txt_pdfminer/c2dt31427d.txt,http://d.sunie.top:9009/material/convert/core_qmof_html/c2dt31427d.html,http://dx.doi.org/10.1039/c2dt31427d,853984.0,P c c n (56),"a 13.042(3)Å b 28.201(6)Å c 8.6770(17)Å, α 90° β 90° γ 90°","catena-[bis(μ4-Glutarato)-(μ3-1,3-bis(4-pyridyl)propane)-copper acetone solvate]",CSD,Cu8C92H104N8O32,244,5.71608,6.31984,1.2470793457951186,PBE-D3BJ,"['Cu 22Jun2005', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[2, 1, 1]",True,True,-1545.09274774,-16.27973,-1528.81301774,0.392395,False,-0.220421,-0.612816,0.0
2,ACOLIP,c2jm34349e,http://d.sunie.top:9009/material/convert/core_qmof_pdf/c2jm34349e.pdf,http://d.sunie.top:9020/index.xhtml#/material/convert/core_qmof_txt/c2jm34349e,http://d.sunie.top:9009/material/convert/core_qmof_txt_pdfminer/c2jm34349e.txt,http://d.sunie.top:9009/material/convert/core_qmof_html/c2jm34349e.html,http://dx.doi.org/10.1039/c2jm34349e,866678.0,C c (9),"a 20.661(4)Å b 11.567(2)Å c 14.227(3)Å, α 90° β 116.01(3)° γ 90°","catena-[(μ2-2-Aminoterephthalato)-(μ2-1,1'-(1,4-phenylenebis(methylene))bis(1H-imidazole))-zinc(ii) N,N-dimethylformamide solvate]",CSD,Zn2C44H38N10O8,102,3.3648,4.58747,1.0491674214588826,PBE-D3BJ,"['Zn 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[2, 2, 1]",True,False,-686.28614258,-6.10958,-680.17656258,2.690086,True,1.074377,-1.615709,0.0
3,ADIQEL,c2dt31361h,http://d.sunie.top:9009/material/convert/core_qmof_pdf/c2dt31361h.pdf,http://d.sunie.top:9020/index.xhtml#/material/convert/core_qmof_txt/c2dt31361h,http://d.sunie.top:9009/material/convert/core_qmof_txt_pdfminer/c2dt31361h.txt,http://d.sunie.top:9009/material/convert/core_qmof_html/c2dt31361h.html,http://dx.doi.org/10.1039/c2dt31361h,884013.0,P 21/n (14),"a 8.2010(16)Å b 10.492(2)Å c 11.125(2)Å, α 90° β 95.28(3)° γ 90°",catena-(bis(μ3-2-(pyridin-4-yl)malonaldehydato)-cobalt(ii) methanol solvate),CSD,Co2C32H24N4O8,70,3.69613,4.26224,1.276797785799079,PBE-D3BJ,"['Co 02Aug2007', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[2, 2, 2]",False,True,-480.05713235,-4.94162,-475.11551235,1.20962,False,1.479484,0.269864,0.0
4,AFITEP,b714160b,http://d.sunie.top:9009/material/convert/core_qmof_pdf/b714160b.pdf,http://d.sunie.top:9020/index.xhtml#/material/convert/core_qmof_txt/b714160b,http://d.sunie.top:9009/material/convert/core_qmof_txt_pdfminer/b714160b.txt,http://d.sunie.top:9009/material/convert/core_qmof_html/b714160b.html,http://dx.doi.org/10.1039/b714160b,661009.0,C 2/c (15),"a 28.848(7)Å b 6.1751(15)Å c 17.144(4)Å, α 90° β 98.838(4)° γ 90°",,CSD,Zn2C52H32N4O8,98,4.0581,4.62844,1.1035406345301373,PBE-D3BJ,"['Zn 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[4, 1, 1]",True,False,-681.52711575,-6.84976,-674.6773557500001,1.362378,False,-0.247957,-1.610335,0.0
5,AGIMOU,c3dt52190g,http://d.sunie.top:9009/material/convert/core_qmof_pdf/c3dt52190g.pdf,http://d.sunie.top:9020/index.xhtml#/material/convert/core_qmof_txt/c3dt52190g,http://d.sunie.top:9009/material/convert/core_qmof_txt_pdfminer/c3dt52190g.txt,http://d.sunie.top:9009/material/convert/core_qmof_html/c3dt52190g.html,http://dx.doi.org/10.1039/C3DT52190G,929552.0,P 21/n (14),"a 9.3348(10)Å b 13.0009(15)Å c 9.3606(10)Å, α 90.00° β 91.282(2)° γ 90.00°",,CSD,Mn6C8Cl4H24N40O4,86,1.11482,3.56343,1.8167892163804409,PBE-D3BJ,"['Mn_pv 02Aug2007', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'Cl 06Sep2000', 'O 08Apr2002']",520,"[2, 2, 1]",True,True,-592.94029104,-7.37717,-585.56312104,0.90183,True,2.393387,1.491557,30.0
6,AHINIP,ic802445q,http://d.sunie.top:9009/material/convert/core_qmof_pdf/ic802445q.pdf,http://d.sunie.top:9020/index.xhtml#/material/convert/core_qmof_txt/ic802445q,http://d.sunie.top:9009/material/convert/core_qmof_txt_pdfminer/ic802445q.txt,http://d.sunie.top:9009/material/convert/core_qmof_html/ic802445q.html,http://dx.doi.org/10.1021/ic802445q,714499.0,P 21 (4),"a 10.592(4)Å b 22.306(8)Å c 13.120(5)Å, α 90° β 100.813(4)° γ 90°",,CSD,Zn4C112H104N24O16,260,2.22769,4.70457,1.2910180373914837,PBE-D3BJ,"['Zn 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[2, 1, 1]",True,False,-1727.12320309,-18.31991,-1708.80329309,2.062508,True,1.24683,-0.815678,0.0
7,AJAYIT,s1387-7003(03)00113-8,http://d.sunie.top:9009/material/convert/core_qmof_pdf/s1387-7003(03)00113-8.pdf,http://d.sunie.top:9020/index.xhtml#/material/convert/core_qmof_txt/s1387-7003(03)00113-8,http://d.sunie.top:9009/material/convert/core_qmof_txt_pdfminer/s1387-7003(03)00113-8.txt,http://d.sunie.top:9009/material/convert/core_qmof_html/s1387-7003(03)00113-8.html,http://dx.doi.org/10.1016/S1387-7003(03)00113-8,216431.0,P 3 c 1 (158),"a 13.3169(19)Å b 13.3169(19)Å c 14.297(3)Å, α 90° β 90° γ 120°",,CSD,Cu6Er4C48H60N12O48,178,4.85567,7.03399,1.9699968964890573,PBE-D3BJ,"['Er_3 06Sep2000', 'Cu 22Jun2005', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[1, 1, 1]",True,True,-1167.11540991,-13.04097,-1154.07443991,0.956734,True,0.68866,-0.268074,0.0
8,AJOVEB,chem.201002088,http://d.sunie.top:9009/material/convert/core_qmof_pdf/chem.201002088.pdf,http://d.sunie.top:9020/index.xhtml#/material/convert/core_qmof_txt/chem.201002088,http://d.sunie.top:9009/material/convert/core_qmof_txt_pdfminer/chem.201002088.txt,http://d.sunie.top:9009/material/convert/core_qmof_html/chem.201002088.html,http://dx.doi.org/10.1002/chem.201002088,725964.0,R 3 (148),"a 40.024(6)Å b 40.024(6)Å c 7.7200(15)Å, α 90° β 90° γ 120°",,CSD,Cd12C114F36H48O54,264,3.83905,4.73903,2.0270678949784857,PBE-D3BJ,"['Cd 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'O 08Apr2002', 'F 08Apr2002']",520,"[3, 1, 1]",True,False,-1758.56941781,-20.96629,-1737.60312781,2.9431700000000003,False,1.446706,-1.496464,0.0
9,AJUNOK,acs.cgd.5b00681,http://d.sunie.top:9009/material/convert/core_qmof_pdf/acs.cgd.5b00681.pdf,http://d.sunie.top:9020/index.xhtml#/material/convert/core_qmof_txt/acs.cgd.5b00681,http://d.sunie.top:9009/material/convert/core_qmof_txt_pdfminer/acs.cgd.5b00681.txt,http://d.sunie.top:9009/material/convert/core_qmof_html/acs.cgd.5b00681.html,http://dx.doi.org/10.1021/acs.cgd.5b00681,1449467.0,P c c a (54),"a 16.085Å b 16.0849(13)Å c 20.2460(17)Å, α 90.00° β 90.00° γ 90.00°",,CSD,Cd8C192H112N32O32S8,384,2.86418,5.03904,1.4198254608837686,PBE-D3BJ,"['Cd 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'S 06Sep2000', 'N 08Apr2002', 'O 08Apr2002']",520,"[1, 1, 1]",True,False,-2693.40376821,-30.42607,-2662.97769821,1.0664669999999998,True,0.305199,-0.761268,0.0
