,name,doi,pdf_link,brat_link,pdfminer_link,html_link,doi_link,Deposition Number(s),Space Group,Cell,element,info.source,info.formula,info.natoms,info.pld,info.lcd,info.density,inputs.pbe.theory,inputs.pbe.pseudopotentials,inputs.pbe.encut,inputs.pbe.kpoints,inputs.pbe.gamma,inputs.pbe.spin,outputs.pbe.energy_total,outputs.pbe.energy_vdw,outputs.pbe.energy_elec,outputs.pbe.bandgap,outputs.pbe.directgap,outputs.pbe.cbm,outputs.pbe.vbm,outputs.pbe.net_magmom
0,ABAVIJ,b404485a,http://d.sunie.top:9009/material/convert/core_qmof_pdf/b404485a.pdf,http://d.sunie.top:9020/index.xhtml#/material/convert/core_qmof_txt/b404485a,http://d.sunie.top:9009/material/convert/core_qmof_txt_pdfminer/b404485a.txt,http://d.sunie.top:9009/material/convert/core_qmof_html/b404485a.html,http://dx.doi.org/10.1039/b404485a,234593.0,C c (9),"a 9.8064(9)Å b 26.165(2)Å c 10.6685(9)Å, α 90° β 105.267(2)° γ 90°",catena-(tetrakis(μ3-isonicotinato)-di-cobalt) ethanol clathrate,CSD,Co4C48H32N8O16,108,2.36128,4.21176,1.5576436532530995,PBE-D3BJ,"['Co 02Aug2007', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[2, 2, 1]",True,True,-759.99607759,-8.60846,-751.38761759,0.345448,False,1.09114,0.745692,12.0
1,ABEXEM,ic201013v,http://d.sunie.top:9009/material/convert/core_qmof_pdf/ic201013v.pdf,http://d.sunie.top:9020/index.xhtml#/material/convert/core_qmof_txt/ic201013v,http://d.sunie.top:9009/material/convert/core_qmof_txt_pdfminer/ic201013v.txt,http://d.sunie.top:9009/material/convert/core_qmof_html/ic201013v.html,http://dx.doi.org/10.1021/ic201013v,825179.0,P n a 21 (33),"a 12.1350(5)Å b 11.0417(4)Å c 19.6509(8)Å, α 90° β 90° γ 90°","catena-((μ4-pyrimidine-4,6-dicarboxylato)-(μ3-pyrimidine-4,6-dicarboxylato)-(μ2-oxalato)-triaqua-di-lanthanum(iii) pentahydrate)",CSD,La8C56H40N16O60,180,3.12737,4.11215,1.880647096289132,PBE-D3BJ,"['La 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[2, 2, 1]",True,False,-1309.78061852,-13.07325,-1296.70736852,1.93495,False,1.03666,-0.89829,0.0
2,ABEXOW,ic201013v,http://d.sunie.top:9009/material/convert/core_qmof_pdf/ic201013v.pdf,http://d.sunie.top:9020/index.xhtml#/material/convert/core_qmof_txt/ic201013v,http://d.sunie.top:9009/material/convert/core_qmof_txt_pdfminer/ic201013v.txt,http://d.sunie.top:9009/material/convert/core_qmof_html/ic201013v.html,http://dx.doi.org/10.1021/ic201013v,825181.0,P n a 21 (33),"a 12.0020(2)Å b 11.0080(1)Å c 19.4730(4)Å, α 90° β 90° γ 90°","catena-((μ4-pyrimidine-4,6-dicarboxylato)-(μ3-pyrimidine-4,6-dicarboxylato)-(μ2-oxalato)-triaqua-di-praseodymium(iii) pentahydrate)",CSD,Pr8C56H40N16O60,180,2.98064,3.91167,1.9402429764155624,PBE-D3BJ,"['Pr_3 07Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[2, 2, 1]",True,False,-1306.37075064,-13.13225,-1293.23850064,1.899581,False,0.657199,-1.242382,0.0
3,ABEXUC,ic201013v,http://d.sunie.top:9009/material/convert/core_qmof_pdf/ic201013v.pdf,http://d.sunie.top:9020/index.xhtml#/material/convert/core_qmof_txt/ic201013v,http://d.sunie.top:9009/material/convert/core_qmof_txt_pdfminer/ic201013v.txt,http://d.sunie.top:9009/material/convert/core_qmof_html/ic201013v.html,http://dx.doi.org/10.1021/ic201013v,825182.0,P n a 21 (33),"a 11.9460(2)Å b 10.9890(2)Å c 19.4020(3)Å, α 90° β 90° γ 90°","catena-((μ4-pyrimidine-4,6-dicarboxylato)-(μ3-pyrimidine-4,6-dicarboxylato)-(μ2-oxalato)-triaqua-di-neodymium(iii) pentahydrate)",CSD,Nd8C56H40N16O60,180,2.88017,3.84988,1.981841502128349,PBE-D3BJ,"['Nd_3 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[2, 2, 1]",True,False,-1306.60736978,-13.19752,-1293.40984978,1.916827,False,0.68293,-1.233897,0.0
4,ABEYAJ,ic201013v,http://d.sunie.top:9009/material/convert/core_qmof_pdf/ic201013v.pdf,http://d.sunie.top:9020/index.xhtml#/material/convert/core_qmof_txt/ic201013v,http://d.sunie.top:9009/material/convert/core_qmof_txt_pdfminer/ic201013v.txt,http://d.sunie.top:9009/material/convert/core_qmof_html/ic201013v.html,http://dx.doi.org/10.1021/ic201013v,825183.0,P n a 21 (33),"a 11.8680(2)Å b 10.9620(3)Å c 19.3070(4)Å, α 90° β 90° γ 90°","catena-((μ4-pyrimidine-4,6-dicarboxylato)-(μ3-pyrimidine-4,6-dicarboxylato)-(μ2-oxalato)-triaqua-di-samarium(iii) pentahydrate)",CSD,Sm8C56H40N16O60,180,2.85588,3.82829,2.051028404261376,PBE-D3BJ,"['Sm_3 07Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[2, 2, 1]",True,False,-1306.60746683,-13.3477,-1293.25976683,1.911096,False,0.681821,-1.229275,0.0
5,ABEYEN,ic201013v,http://d.sunie.top:9009/material/convert/core_qmof_pdf/ic201013v.pdf,http://d.sunie.top:9020/index.xhtml#/material/convert/core_qmof_txt/ic201013v,http://d.sunie.top:9009/material/convert/core_qmof_txt_pdfminer/ic201013v.txt,http://d.sunie.top:9009/material/convert/core_qmof_html/ic201013v.html,http://dx.doi.org/10.1021/ic201013v,825184.0,P n a 21 (33),"a 11.8280(3)Å b 10.9430(17)Å c 19.2610(4)Å, α 90° β 90° γ 90°","catena-((μ4-pyrimidine-4,6-dicarboxylato)-(μ3-pyrimidine-4,6-dicarboxylato)-(μ2-oxalato)-triaqua-di-europium(iii) pentahydrate)",CSD,Eu8C56H40N16O60,180,2.76515,3.76079,2.08377341666666,PBE-D3BJ,"['Eu_3 20Oct2008', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[2, 2, 1]",True,False,-1306.75362925,-13.39734,-1293.35628925,1.916479,False,0.714204,-1.202275,0.0
6,ABEYIR,ic201013v,http://d.sunie.top:9009/material/convert/core_qmof_pdf/ic201013v.pdf,http://d.sunie.top:9020/index.xhtml#/material/convert/core_qmof_txt/ic201013v,http://d.sunie.top:9009/material/convert/core_qmof_txt_pdfminer/ic201013v.txt,http://d.sunie.top:9009/material/convert/core_qmof_html/ic201013v.html,http://dx.doi.org/10.1021/ic201013v,825185.0,P n a 21 (33),"a 11.7927(4)Å b 10.9340(3)Å c 19.2152(7)Å, α 90° β 90° γ 90°","catena-((μ4-pyrimidine-4,6-dicarboxylato)-(μ3-pyrimidine-4,6-dicarboxylato)-(μ2-oxalato)-triaqua-di-gadolinium(iii) pentahydrate)",CSD,Gd8C56H40N16O60,180,2.72318,3.72596,2.129566623492478,PBE-D3BJ,"['Gd_3 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[2, 2, 1]",True,False,-1307.30350204,-13.90081,-1293.40269204,1.928707,True,0.774768,-1.153939,0.0
7,ACAJOF,c2dt31427d,http://d.sunie.top:9009/material/convert/core_qmof_pdf/c2dt31427d.pdf,http://d.sunie.top:9020/index.xhtml#/material/convert/core_qmof_txt/c2dt31427d,http://d.sunie.top:9009/material/convert/core_qmof_txt_pdfminer/c2dt31427d.txt,http://d.sunie.top:9009/material/convert/core_qmof_html/c2dt31427d.html,http://dx.doi.org/10.1039/c2dt31427d,853984.0,P c c n (56),"a 13.042(3)Å b 28.201(6)Å c 8.6770(17)Å, α 90° β 90° γ 90°","catena-[bis(μ4-Glutarato)-(μ3-1,3-bis(4-pyridyl)propane)-copper acetone solvate]",CSD,Cu8C92H104N8O32,244,5.71608,6.31984,1.2470793457951186,PBE-D3BJ,"['Cu 22Jun2005', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[2, 1, 1]",True,True,-1545.09274774,-16.27973,-1528.81301774,0.392395,False,-0.220421,-0.612816,0.0
8,ACOLIP,c2jm34349e,http://d.sunie.top:9009/material/convert/core_qmof_pdf/c2jm34349e.pdf,http://d.sunie.top:9020/index.xhtml#/material/convert/core_qmof_txt/c2jm34349e,http://d.sunie.top:9009/material/convert/core_qmof_txt_pdfminer/c2jm34349e.txt,http://d.sunie.top:9009/material/convert/core_qmof_html/c2jm34349e.html,http://dx.doi.org/10.1039/c2jm34349e,866678.0,C c (9),"a 20.661(4)Å b 11.567(2)Å c 14.227(3)Å, α 90° β 116.01(3)° γ 90°","catena-[(μ2-2-Aminoterephthalato)-(μ2-1,1'-(1,4-phenylenebis(methylene))bis(1H-imidazole))-zinc(ii) N,N-dimethylformamide solvate]",CSD,Zn2C44H38N10O8,102,3.3648,4.58747,1.0491674214588826,PBE-D3BJ,"['Zn 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[2, 2, 1]",True,False,-686.28614258,-6.10958,-680.17656258,2.690086,True,1.074377,-1.615709,0.0
9,ADABIS,anie.201202992,http://d.sunie.top:9009/material/convert/core_qmof_pdf/anie.201202992.pdf,http://d.sunie.top:9020/index.xhtml#/material/convert/core_qmof_txt/anie.201202992,http://d.sunie.top:9009/material/convert/core_qmof_txt_pdfminer/anie.201202992.txt,http://d.sunie.top:9009/material/convert/core_qmof_html/anie.201202992.html,http://dx.doi.org/10.1002/anie.201202992,855257.0,C 2/c (15),"a 28.561(5)Å b 9.3537(18)Å c 9.2553(15)Å, α 90° β 116.753(10)° γ 90°","catena-(bis(μ3-tetrazole-5-carboxylato)-(μ2-4,4'-propane-1,3-diyldipyridine)-di-copper carbon dioxide)",CSD,Cu4C36H28N20O12,100,1.03895,2.39518,1.8076893454362384,PBE-D3BJ,"['Cu 22Jun2005', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[2, 2, 1]",True,True,-691.52054749,-8.38997,-683.1305774900001,0.820787,False,0.942544,0.121757,0.0
