,name,doi_link
0,ABAVIJ,http://dx.doi.org/10.1039/b404485a
1,ABEXEM,http://dx.doi.org/10.1021/ic201013v
2,ABEXOW,http://dx.doi.org/10.1021/ic201013v
3,ABEXUC,http://dx.doi.org/10.1021/ic201013v
4,ABEYAJ,http://dx.doi.org/10.1021/ic201013v
5,ABEYEN,http://dx.doi.org/10.1021/ic201013v
6,ABEYIR,http://dx.doi.org/10.1021/ic201013v
7,ACAJOF,http://dx.doi.org/10.1039/c2dt31427d
8,ACOLIP,http://dx.doi.org/10.1039/c2jm34349e
9,ADABIS,http://dx.doi.org/10.1002/anie.201202992
10,ADABUE,http://dx.doi.org/10.1002/anie.201202992
11,ADEGIA01,http://dx.doi.org/10.1007/s10904-014-0025-0
12,ADIQEL,http://dx.doi.org/10.1039/c2dt31361h
13,ADODII,http://dx.doi.org/10.1039/c2cc35432b
14,ADODOO,http://dx.doi.org/10.1039/c2cc35432b
15,ADODUU,http://dx.doi.org/10.1039/c2cc35432b
16,AFITEP,http://dx.doi.org/10.1039/b714160b
17,AGIMOU,http://dx.doi.org/10.1039/C3DT52190G
18,AHINIP,http://dx.doi.org/10.1021/ic802445q
19,AJAYIT,http://dx.doi.org/10.1016/S1387-7003(03)00113-8
20,AJOVEB,http://dx.doi.org/10.1002/chem.201002088
21,AJUNOK,http://dx.doi.org/10.1021/acs.cgd.5b00681
22,AKUHOD01,not_exist
23,ALATAK,http://dx.doi.org/10.1021/acs.inorgchem.6b00397
24,ALOLIY,http://dx.doi.org/10.14102/j.cnki.0254-5861.2011-1180
25,ALUJUN,http://dx.doi.org/10.1021/ic902194g
26,ALUKAU,http://dx.doi.org/10.1021/ic902194g
27,ALUKOI,http://dx.doi.org/10.1021/ic902194g
28,ALUKUO,http://dx.doi.org/10.1021/ic902194g
29,ALULAV,http://dx.doi.org/10.1021/ic902194g
30,AMIKOX,http://dx.doi.org/10.1039/c0dt00931h
31,AMILUE,http://dx.doi.org/10.1039/c0dt00999g
32,AMOYOR,http://dx.doi.org/10.1039/c0ce00575d
33,AMOZAE,http://dx.doi.org/10.1039/c0ce00397b
34,AMUFIZ,http://dx.doi.org/10.1021/acs.inorgchem.5b02340
35,AMUPOP,http://dx.doi.org/10.1016/j.ica.2016.05.002
36,ANAWIX,http://dx.doi.org/10.1021/acs.cgd.6b00488
37,ANAWOD,http://dx.doi.org/10.1021/acs.cgd.6b00488
38,APEBEE,http://dx.doi.org/10.1039/C6CC03285K
39,APETAS,http://dx.doi.org/10.1080/00958972.2016.1180371
40,ASALIP,http://dx.doi.org/10.1002/chem.200305098
41,ASEJOZ,http://dx.doi.org/10.1021/acs.cgd.6b00890
42,ASEJOZ01,http://dx.doi.org/10.14102/j.cnki.0254-5861.2011-1072
43,ATIBOU,http://dx.doi.org/10.1039/b314221c
44,ATIBOU01,http://dx.doi.org/10.1002/adfm.200800058
45,ATIBUA,http://dx.doi.org/10.1039/b314221c
46,ATIRUS,http://dx.doi.org/10.1016/j.inoche.2016.08.009
47,AVAQIX01,http://dx.doi.org/10.1016/j.molstruc.2016.04.093
48,AVEHAM,http://dx.doi.org/10.7503/cjcu20150259
49,AVIMOI,http://dx.doi.org/10.1021/cg200229h
50,AVIMUO,http://dx.doi.org/10.1021/cg200229h
51,AWIBAL,http://dx.doi.org/10.1021/acs.cgd.6b00274
52,AXIPEE,http://dx.doi.org/10.1002/anie.201605418
53,AXIPEE03,http://dx.doi.org/10.1002/anie.201605418
54,AYUWUM,http://dx.doi.org/10.1135/cccc20041080
55,AZIXUD,http://dx.doi.org/10.1107/S1600536811037056
56,BACGAQ,http://dx.doi.org/10.1002/zaac.201500654
57,BACMOH10,http://dx.doi.org/10.1021/ic00136a027
58,BADHIA,http://dx.doi.org/10.1002/anie.201506250
59,BADHUM,http://dx.doi.org/10.1002/anie.201506250
60,BADJAU,http://dx.doi.org/10.1002/anie.201506250
61,BADYAJ,http://dx.doi.org/10.1002/chem.201502033
62,BAFKUR,http://dx.doi.org/10.14233/ajchem.2014.16986
63,BAHGUN,http://dx.doi.org/10.1006/jssc.2001.9118
64,BAHGUN01,http://dx.doi.org/10.1039/b200213b
65,BAHGUN02,http://dx.doi.org/10.1039/b201501n
66,BAHGUN03,http://dx.doi.org/10.1016/S0020-1693(03)00215-9
67,BAHGUN04,http://dx.doi.org/10.1016/S0020-1693(03)00215-9
68,BAKJII,http://dx.doi.org/10.1039/c1dt10901d
69,BALMUW01,http://dx.doi.org/10.1107/S0108768101020717
70,BANMAG,not_exist
71,BASSOF,http://dx.doi.org/10.1039/c0dt00579g
72,BASTIA,http://dx.doi.org/10.1039/c0dt00579g
73,BEGBOG,http://dx.doi.org/10.1002/ejic.201200686
74,BEPLUF,http://dx.doi.org/10.1039/c3cc41842a
75,BEPMAM,http://dx.doi.org/10.1039/c3cc41842a
76,BEPMIU,http://dx.doi.org/10.1039/c3cc41842a
77,BEPNOB,http://dx.doi.org/10.1039/c3cc41842a
78,BEPNUH,http://dx.doi.org/10.1039/c3cc41842a
79,BEPPIX,http://dx.doi.org/10.1039/c3cc41842a
80,BEPPOD,http://dx.doi.org/10.1039/c3cc41842a
81,BEPVAV,http://dx.doi.org/10.1039/c3sc00016h
82,BEPVEZ,http://dx.doi.org/10.1039/c3sc00016h
83,BEPVID,http://dx.doi.org/10.1039/c3sc00016h
84,BEPVOJ,http://dx.doi.org/10.1039/c3sc00016h
85,BEPVOJ01,http://dx.doi.org/10.1039/c3sc00016h
86,BERFIP,http://dx.doi.org/10.1039/C3CE00049D
87,BERGAI,http://dx.doi.org/10.1039/C3CE00049D
88,BEVQID,http://dx.doi.org/10.1016/j.solidstatesciences.2004.03.007
89,BEXRUT,http://dx.doi.org/10.1039/C3CE27023H
90,BIBBUL,http://dx.doi.org/10.1016/j.ica.2013.03.015
91,BIQHEQ,http://dx.doi.org/10.1021/ic401657d
92,BOFCEG,http://dx.doi.org/10.1039/C4CC00553H
93,BOHGOU,http://dx.doi.org/10.1107/S0108270183003510
94,BOJYIK,http://dx.doi.org/10.1007/s10904-014-0025-0
95,BONNIC,http://dx.doi.org/10.1039/b809557d
96,BONWIL,http://dx.doi.org/10.1002/chem.200801948
97,BOWQAG,http://dx.doi.org/10.1016/j.jssc.2008.12.022
98,BUDDIO,http://dx.doi.org/10.1107/S1600536809038756
99,BUKYAJ,http://dx.doi.org/10.1021/acs.cgd.5b00358
100,BUSGIG,http://dx.doi.org/10.1002/zaac.200900304
101,BUSGOM,http://dx.doi.org/10.1002/zaac.200900304
102,BUSQEM,http://dx.doi.org/10.1021/cm101410h
103,BUSQIQ,http://dx.doi.org/10.1021/cm9023106
104,BUSQUC,http://dx.doi.org/10.1021/cm9025683
105,BUVWOF02,http://dx.doi.org/10.1002/chem.201001179
106,BUVWOF03,http://dx.doi.org/10.1002/chem.201001179
107,BUVYIB,http://dx.doi.org/10.1002/chem.201001179
108,CADZIT,http://dx.doi.org/10.1002/chem.201602322
109,CATART03,http://dx.doi.org/10.1154/1.2464129
110,CAVRAU,http://dx.doi.org/10.1039/c2dt12059c
111,CAVREY,http://dx.doi.org/10.1039/c2dt12059c
112,CAWGAJ,http://dx.doi.org/10.1021/ic0507060
113,CAXVII,http://dx.doi.org/10.1039/c2dt12138g
114,CAYDEN,http://dx.doi.org/10.1021/ic2023105
