,name,doi_link,doi,link1
0,ABAVIJ,http://dx.doi.org/10.1039/b404485a,b404485a,http://sunie.top:9009/Server/material/core_qmof_pdf/b404485a.pdf
1,ACAJOF,http://dx.doi.org/10.1039/c2dt31427d,c2dt31427d,http://sunie.top:9009/Server/material/core_qmof_pdf/c2dt31427d.pdf
2,ACOLIP,http://dx.doi.org/10.1039/c2jm34349e,c2jm34349e,http://sunie.top:9009/Server/material/core_qmof_pdf/c2jm34349e.pdf
3,ADIQEL,http://dx.doi.org/10.1039/c2dt31361h,c2dt31361h,http://sunie.top:9009/Server/material/core_qmof_pdf/c2dt31361h.pdf
4,AFITEP,http://dx.doi.org/10.1039/b714160b,b714160b,http://sunie.top:9009/Server/material/core_qmof_pdf/b714160b.pdf
5,AGIMOU,http://dx.doi.org/10.1039/C3DT52190G,C3DT52190G,http://sunie.top:9009/Server/material/core_qmof_pdf/C3DT52190G.pdf
6,AHINIP,http://dx.doi.org/10.1021/ic802445q,ic802445q,http://sunie.top:9009/Server/material/core_qmof_pdf/ic802445q.pdf
7,AJAYIT,http://dx.doi.org/10.1016/S1387-7003(03)00113-8,S1387-7003(03)00113-8,http://sunie.top:9009/Server/material/core_qmof_pdf/S1387-7003(03)00113-8.pdf
8,AJOVEB,http://dx.doi.org/10.1002/chem.201002088,chem.201002088,http://sunie.top:9009/Server/material/core_qmof_pdf/chem.201002088.pdf
9,AJUNOK,http://dx.doi.org/10.1021/acs.cgd.5b00681,acs.cgd.5b00681,http://sunie.top:9009/Server/material/core_qmof_pdf/acs.cgd.5b00681.pdf
10,ALATAK,http://dx.doi.org/10.1021/acs.inorgchem.6b00397,acs.inorgchem.6b00397,http://sunie.top:9009/Server/material/core_qmof_pdf/acs.inorgchem.6b00397.pdf
11,ALOLIY,http://dx.doi.org/10.14102/j.cnki.0254-5861.2011-1180,j.cnki.0254-5861.2011-1180,http://sunie.top:9009/Server/material/core_qmof_pdf/j.cnki.0254-5861.2011-1180.pdf
12,AMIKOX,http://dx.doi.org/10.1039/c0dt00931h,c0dt00931h,http://sunie.top:9009/Server/material/core_qmof_pdf/c0dt00931h.pdf
13,AMILUE,http://dx.doi.org/10.1039/c0dt00999g,c0dt00999g,http://sunie.top:9009/Server/material/core_qmof_pdf/c0dt00999g.pdf
14,AMOYOR,http://dx.doi.org/10.1039/c0ce00575d,c0ce00575d,http://sunie.top:9009/Server/material/core_qmof_pdf/c0ce00575d.pdf
15,AMOZAE,http://dx.doi.org/10.1039/c0ce00397b,c0ce00397b,http://sunie.top:9009/Server/material/core_qmof_pdf/c0ce00397b.pdf
16,AMUFIZ,http://dx.doi.org/10.1021/acs.inorgchem.5b02340,acs.inorgchem.5b02340,http://sunie.top:9009/Server/material/core_qmof_pdf/acs.inorgchem.5b02340.pdf
17,AMUPOP,http://dx.doi.org/10.1016/j.ica.2016.05.002,j.ica.2016.05.002,http://sunie.top:9009/Server/material/core_qmof_pdf/j.ica.2016.05.002.pdf
18,APEBEE,http://dx.doi.org/10.1039/C6CC03285K,C6CC03285K,http://sunie.top:9009/Server/material/core_qmof_pdf/C6CC03285K.pdf
19,APETAS,http://dx.doi.org/10.1080/00958972.2016.1180371,00958972.2016.1180371,http://sunie.top:9009/Server/material/core_qmof_pdf/00958972.2016.1180371.pdf
20,ASALIP,http://dx.doi.org/10.1002/chem.200305098,chem.200305098,http://sunie.top:9009/Server/material/core_qmof_pdf/chem.200305098.pdf
21,ASEJOZ,http://dx.doi.org/10.1021/acs.cgd.6b00890,acs.cgd.6b00890,http://sunie.top:9009/Server/material/core_qmof_pdf/acs.cgd.6b00890.pdf
22,ASEJOZ01,http://dx.doi.org/10.14102/j.cnki.0254-5861.2011-1072,j.cnki.0254-5861.2011-1072,http://sunie.top:9009/Server/material/core_qmof_pdf/j.cnki.0254-5861.2011-1072.pdf
23,ATIBOU01,http://dx.doi.org/10.1002/adfm.200800058,adfm.200800058,http://sunie.top:9009/Server/material/core_qmof_pdf/adfm.200800058.pdf
24,ATIRUS,http://dx.doi.org/10.1016/j.inoche.2016.08.009,j.inoche.2016.08.009,http://sunie.top:9009/Server/material/core_qmof_pdf/j.inoche.2016.08.009.pdf
25,AVAQIX01,http://dx.doi.org/10.1016/j.molstruc.2016.04.093,j.molstruc.2016.04.093,http://sunie.top:9009/Server/material/core_qmof_pdf/j.molstruc.2016.04.093.pdf
26,AVEHAM,http://dx.doi.org/10.7503/cjcu20150259,cjcu20150259,http://sunie.top:9009/Server/material/core_qmof_pdf/cjcu20150259.pdf
27,AWIBAL,http://dx.doi.org/10.1021/acs.cgd.6b00274,acs.cgd.6b00274,http://sunie.top:9009/Server/material/core_qmof_pdf/acs.cgd.6b00274.pdf
28,AYUWUM,http://dx.doi.org/10.1135/cccc20041080,cccc20041080,http://sunie.top:9009/Server/material/core_qmof_pdf/cccc20041080.pdf
29,AZIXUD,http://dx.doi.org/10.1107/S1600536811037056,S1600536811037056,http://sunie.top:9009/Server/material/core_qmof_pdf/S1600536811037056.pdf
30,BACGAQ,http://dx.doi.org/10.1002/zaac.201500654,zaac.201500654,http://sunie.top:9009/Server/material/core_qmof_pdf/zaac.201500654.pdf
31,BACMOH10,http://dx.doi.org/10.1021/ic00136a027,ic00136a027,http://sunie.top:9009/Server/material/core_qmof_pdf/ic00136a027.pdf
32,BADYAJ,http://dx.doi.org/10.1002/chem.201502033,chem.201502033,http://sunie.top:9009/Server/material/core_qmof_pdf/chem.201502033.pdf
33,BAFKUR,http://dx.doi.org/10.14233/ajchem.2014.16986,ajchem.2014.16986,http://sunie.top:9009/Server/material/core_qmof_pdf/ajchem.2014.16986.pdf
34,BAHGUN,http://dx.doi.org/10.1006/jssc.2001.9118,jssc.2001.9118,http://sunie.top:9009/Server/material/core_qmof_pdf/jssc.2001.9118.pdf
35,BAHGUN01,http://dx.doi.org/10.1039/b200213b,b200213b,http://sunie.top:9009/Server/material/core_qmof_pdf/b200213b.pdf
36,BAKJII,http://dx.doi.org/10.1039/c1dt10901d,c1dt10901d,http://sunie.top:9009/Server/material/core_qmof_pdf/c1dt10901d.pdf
37,BALMUW01,http://dx.doi.org/10.1107/S0108768101020717,S0108768101020717,http://sunie.top:9009/Server/material/core_qmof_pdf/S0108768101020717.pdf
38,BEGBOG,http://dx.doi.org/10.1002/ejic.201200686,ejic.201200686,http://sunie.top:9009/Server/material/core_qmof_pdf/ejic.201200686.pdf
39,BEVQID,http://dx.doi.org/10.1016/j.solidstatesciences.2004.03.007,j.solidstatesciences.2004.03.007,http://sunie.top:9009/Server/material/core_qmof_pdf/j.solidstatesciences.2004.03.007.pdf
40,BEXRUT,http://dx.doi.org/10.1039/C3CE27023H,C3CE27023H,http://sunie.top:9009/Server/material/core_qmof_pdf/C3CE27023H.pdf
41,BIBBUL,http://dx.doi.org/10.1016/j.ica.2013.03.015,j.ica.2013.03.015,http://sunie.top:9009/Server/material/core_qmof_pdf/j.ica.2013.03.015.pdf
42,BIQHEQ,http://dx.doi.org/10.1021/ic401657d,ic401657d,http://sunie.top:9009/Server/material/core_qmof_pdf/ic401657d.pdf
43,BOFCEG,http://dx.doi.org/10.1039/C4CC00553H,C4CC00553H,http://sunie.top:9009/Server/material/core_qmof_pdf/C4CC00553H.pdf
44,BOHGOU,http://dx.doi.org/10.1107/S0108270183003510,S0108270183003510,http://sunie.top:9009/Server/material/core_qmof_pdf/S0108270183003510.pdf
45,BONNIC,http://dx.doi.org/10.1039/b809557d,b809557d,http://sunie.top:9009/Server/material/core_qmof_pdf/b809557d.pdf
46,BONWIL,http://dx.doi.org/10.1002/chem.200801948,chem.200801948,http://sunie.top:9009/Server/material/core_qmof_pdf/chem.200801948.pdf
47,BOWQAG,http://dx.doi.org/10.1016/j.jssc.2008.12.022,j.jssc.2008.12.022,http://sunie.top:9009/Server/material/core_qmof_pdf/j.jssc.2008.12.022.pdf
48,BUDDIO,http://dx.doi.org/10.1107/S1600536809038756,S1600536809038756,http://sunie.top:9009/Server/material/core_qmof_pdf/S1600536809038756.pdf
49,BUKYAJ,http://dx.doi.org/10.1021/acs.cgd.5b00358,acs.cgd.5b00358,http://sunie.top:9009/Server/material/core_qmof_pdf/acs.cgd.5b00358.pdf
50,BUSQEM,http://dx.doi.org/10.1021/cm101410h,cm101410h,http://sunie.top:9009/Server/material/core_qmof_pdf/cm101410h.pdf
51,BUSQIQ,http://dx.doi.org/10.1021/cm9023106,cm9023106,http://sunie.top:9009/Server/material/core_qmof_pdf/cm9023106.pdf
52,BUSQUC,http://dx.doi.org/10.1021/cm9025683,cm9025683,http://sunie.top:9009/Server/material/core_qmof_pdf/cm9025683.pdf
53,CADZIT,http://dx.doi.org/10.1002/chem.201602322,chem.201602322,http://sunie.top:9009/Server/material/core_qmof_pdf/chem.201602322.pdf
54,CATART03,http://dx.doi.org/10.1154/1.2464129,1.2464129,http://sunie.top:9009/Server/material/core_qmof_pdf/1.2464129.pdf
55,CAWGAJ,http://dx.doi.org/10.1021/ic0507060,ic0507060,http://sunie.top:9009/Server/material/core_qmof_pdf/ic0507060.pdf
56,CAXVII,http://dx.doi.org/10.1039/c2dt12138g,c2dt12138g,http://sunie.top:9009/Server/material/core_qmof_pdf/c2dt12138g.pdf
57,CAYSOK,http://dx.doi.org/10.1002/(SICI)1521-3773(19990917)38:18%3C2730::AID-ANIE2730%3E3.3.CO;2-0,(SICI)1521-3773(19990917)38:18%3C2730::AID-ANIE2730%3E3.3.CO;2-0,http://sunie.top:9009/Server/material/core_qmof_pdf/(SICI)1521-3773(19990917)38:18%3C2730::AID-ANIE2730%3E3.3.CO;2-0.pdf
58,CAZFOA,http://dx.doi.org/10.1016/j.micromeso.2012.02.042,j.micromeso.2012.02.042,http://sunie.top:9009/Server/material/core_qmof_pdf/j.micromeso.2012.02.042.pdf
59,CAZGIT,http://dx.doi.org/10.3891/acta.chem.scand.37b-0707,acta.chem.scand.37b-0707,http://sunie.top:9009/Server/material/core_qmof_pdf/acta.chem.scand.37b-0707.pdf
60,CECVIQ,http://dx.doi.org/10.1002/ejic.200500735,ejic.200500735,http://sunie.top:9009/Server/material/core_qmof_pdf/ejic.200500735.pdf
61,CEDFIC,http://dx.doi.org/10.1107/S0108768112032053,S0108768112032053,http://sunie.top:9009/Server/material/core_qmof_pdf/S0108768112032053.pdf
62,CEGDUO,http://dx.doi.org/10.1039/b602465c,b602465c,http://sunie.top:9009/Server/material/core_qmof_pdf/b602465c.pdf
63,CELZEA,http://dx.doi.org/10.1039/C3CE40484F,C3CE40484F,http://sunie.top:9009/Server/material/core_qmof_pdf/C3CE40484F.pdf
64,CESYEF01,http://dx.doi.org/10.1039/c0nj00144a,c0nj00144a,http://sunie.top:9009/Server/material/core_qmof_pdf/c0nj00144a.pdf
65,CETFUD,http://dx.doi.org/10.1039/b615696g,b615696g,http://sunie.top:9009/Server/material/core_qmof_pdf/b615696g.pdf
